N,model,fold,n_splits,n_train,n_validation,n_features,MAE,RMSE,MAPE,R2
10,ElasticNet,1,5,99,25,63,162.82229316345908,277.54497621822935,17.391723397720476,0.45587696801193045
10,ElasticNet,2,5,99,25,63,111.80143566627619,146.65516097001435,17.049169877570876,0.687010409485909
10,ElasticNet,3,5,99,25,63,158.2729791799783,224.8452711170964,27.032332118432368,0.19524505275584492
10,ElasticNet,4,5,99,25,63,149.22665714454862,220.3329573120584,20.078255905802056,0.5740912306358681
10,ElasticNet,5,5,100,24,63,154.23381510850754,191.6812945504343,21.035943396764953,0.6196932399184405
10,RandomForest,1,5,99,25,63,158.46839868975476,260.0812951493986,16.677170204061838,0.5221972924455687
10,RandomForest,2,5,99,25,63,100.99435498989897,140.76011944474988,19.64666403195019,0.7116669370782585
10,RandomForest,3,5,99,25,63,103.1272505512265,139.95683976158693,13.795036462340182,0.6881940529883737
10,RandomForest,4,5,99,25,63,142.68289025685428,219.43737652095342,16.79246361466728,0.5775465512749136
10,RandomForest,5,5,100,24,63,174.23559770622887,240.03374063434222,21.36976506619321,0.4036253648335697
10,XGBoost,1,5,99,25,63,152.11654418945312,262.99150457625865,15.368049957984335,0.5114446117837481
10,XGBoost,2,5,99,25,63,91.23731811523437,121.01127252244876,17.507091399438558,0.7868983325992167
10,XGBoost,3,5,99,25,63,88.70827514648437,133.12063364126737,12.549368536328624,0.7179105192436512
10,XGBoost,4,5,99,25,63,133.65076538085938,210.90832637815774,15.398813057142604,0.6097480283720806
10,XGBoost,5,5,100,24,63,166.6971524556478,249.25207494631726,21.243207860316325,0.3569390432146976
30,ElasticNet,1,5,99,25,63,167.22158728572546,279.01560258578104,18.1960101865653,0.4500954063958287
30,ElasticNet,2,5,99,25,63,113.47045832256994,211.26796781207452,35.353515788949316,0.3504650839117548
30,ElasticNet,3,5,99,25,63,130.5305967663947,181.91220912867288,19.868776993426458,0.4732314537827319
30,ElasticNet,4,5,99,25,63,137.90286738014692,186.38348038773594,18.898193636216554,0.6952298075163903
30,ElasticNet,5,5,100,24,63,167.26245974020057,257.03755944833813,28.243465465951285,0.3161391282420247
30,RandomForest,1,5,99,25,63,149.2697333275613,273.7298167736894,14.385701955773525,0.4707332863143645
30,RandomForest,2,5,99,25,63,77.71502331024533,110.7238104497348,16.353184010405933,0.8215908030360584
30,RandomForest,3,5,99,25,63,106.7047773823954,133.95429332942211,14.81402203124816,0.7143663205676316
30,RandomForest,4,5,99,25,63,145.9998644204685,256.1371213137991,14.369539526402772,0.42442396451238185
30,RandomForest,5,5,100,24,63,112.2006880561568,151.5165894146303,13.960737260510125,0.7623734572185188
30,XGBoost,1,5,99,25,63,139.61027099609376,273.05546292747215,12.861629488420895,0.473337850240069
30,XGBoost,2,5,99,25,63,82.07470947265625,117.28800119010627,17.8150698795171,0.7998100079365056
30,XGBoost,3,5,99,25,63,103.86837890625,152.06943912775773,14.736449430974957,0.6318879556870167
30,XGBoost,4,5,99,25,63,148.65787719726563,257.29753689454645,14.924722928881485,0.4191969177220213
30,XGBoost,5,5,100,24,63,89.84056091308594,115.06497022503983,11.362332234419963,0.8629557443184581
50,ElasticNet,1,5,99,25,63,180.54878252295947,283.37687808065147,19.650859532374945,0.4327700014275364
50,ElasticNet,2,5,99,25,63,153.3296111098989,284.69360357212304,47.50735299012028,-0.17948008204120014
50,ElasticNet,3,5,99,25,63,175.84320344945823,343.62920038319913,30.389268361121346,-0.879646854040987
50,ElasticNet,4,5,99,25,63,169.9849101340999,335.8854044668799,24.940573800045733,0.010217160464403241
50,ElasticNet,5,5,100,24,63,183.51255184768902,282.89555962163774,28.581120731854785,0.17162527559053364
50,RandomForest,1,5,99,25,63,163.6577661962482,277.987415424205,16.09572802822098,0.45414079356931836
50,RandomForest,2,5,99,25,63,79.59985696392505,115.12661507592,17.47470900801407,0.8071202370043195
50,RandomForest,3,5,99,25,63,113.1077332582974,141.3388061780478,16.0245792780316,0.6820059627483379
50,RandomForest,4,5,99,25,63,139.5637963267842,233.85433597749343,13.979539247571319,0.5202129646184941
50,RandomForest,5,5,100,24,63,113.48013642676783,147.85516915976305,14.212634882696726,0.7737192536166397
50,XGBoost,1,5,99,25,63,164.20732299804686,282.701014689842,15.90255808636975,0.4354725000762151
50,XGBoost,2,5,99,25,63,83.30584594726562,122.63910245799673,17.348656550516765,0.7811265321586717
50,XGBoost,3,5,99,25,63,100.40164916992188,134.56283073019338,14.04030677432637,0.7117652304364168
50,XGBoost,4,5,99,25,63,132.99491088867188,231.8152584123964,13.148294249056175,0.5285434303695605
50,XGBoost,5,5,100,24,63,111.95716603597005,144.0586060084723,14.04017728649816,0.7851907426778572
100,ElasticNet,1,5,99,25,63,162.9706542262311,257.0397328316975,17.422900319174857,0.5333074261422834
100,ElasticNet,2,5,99,25,63,125.86261903275148,194.81740987888224,35.671131961444324,0.4476800604582518
100,ElasticNet,3,5,99,25,63,151.0738155134196,205.14094718951992,25.56158114575252,0.3301140764144329
100,ElasticNet,4,5,99,25,63,114.2069281383996,188.71536934764507,13.581960217375144,0.6875559937775282
100,ElasticNet,5,5,100,24,63,204.98268207156744,452.46322563827175,29.95322768330684,-1.1190497462302371
100,RandomForest,1,5,99,25,63,149.26350243867245,256.6234424077079,14.649203128587452,0.5348178722032915
100,RandomForest,2,5,99,25,63,98.39078141414133,136.1717017350435,19.15239140579374,0.7301583885082822
100,RandomForest,3,5,99,25,63,109.05471597114006,144.26323060562905,16.10501983491665,0.6687106719031339
100,RandomForest,4,5,99,25,63,128.1998045714286,217.94460298830833,13.07486837519432,0.5832746760167831
100,RandomForest,5,5,100,24,63,91.46517794312172,145.6865880970754,10.725294711597092,0.7803082630348696
100,XGBoost,1,5,99,25,63,145.4448083496094,249.27721961503806,13.751474963317895,0.5610697099311773
100,XGBoost,2,5,99,25,63,100.37975952148437,156.0698640991681,19.536320952737427,0.6455350512369022
100,XGBoost,3,5,99,25,63,97.745576171875,138.4383098696217,14.342198412001512,0.6949235274438949
100,XGBoost,4,5,99,25,63,128.16437377929688,213.34343833080786,13.326192110052373,0.6006844385119368
100,XGBoost,5,5,100,24,63,104.97376124064128,149.31880749558593,12.136732611747886,0.7692171122306494
